PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate,MeanPerNight
43333,Yes,2,40,Apartment,1,12/07/2022,155.27
43312,Yes,2,40,Apartment,1,15/06/2022,155.8
43313,Yes,2,40,Apartment,1,19/07/2022,148.92
43334,Yes,2,40,Apartment,1,14/07/2022,152.05
43348,Yes,2,40,Apartment,1,26/08/2022,142.17
43276,Yes,5,64,Apartment,4,15/02/2022,201.12
43247,Yes,10,140,Apartment,4,14/03/2022,289.73
43246,Yes,6,99,Apartment,3,01/12/2021,248.57
43237,Yes,4,64,Apartment,2,16/10/2021,176.02
43235,Yes,10,523,Apartment,5,01/09/2021,319.58
43224,Yes,5,65,Apartment,2,18/07/2021,217.08
43221,Yes,7,194,Apartment,3,01/06/2021,219.39
43279,Yes,4,55,Apartment,2,05/03/2022,177.16
43217,Yes,9,329,Apartment,3,17/05/2021,316.48
43215,Yes,5,110,Apartment,2,29/04/2021,212.36
43213,Yes,2,41,Apartment,1,02/05/2021,199.03
43212,Yes,2,41,Apartment,2,02/05/2021,219.88
43211,Yes,3,41,Apartment,1,02/05/2021,149.4
43204,Yes,2,89,Apartment,1,18/03/2021,184.81
43194,Yes,8,95,Apartment,3,18/03/2021,225.27
43187,Yes,2,60,Apartment,1,27/12/2020,144.39
43177,Yes,6,75,Apartment,3,25/10/2020,203.98
43176,Yes,6,77,Apartment,2,23/02/2021,176.91
43171,Yes,5,78,Apartment,2,19/07/2024,210.0
43170,Yes,4,70,Apartment,2,02/10/2020,262.88
43169,Yes,6,92,Apartment,3,19/09/2020,209.05
43168,Yes,4,60,Apartment,2,24/09/2020,153.77
43167,Yes,6,101,Apartment,3,25/09/2020,265.33
43165,Yes,4,65,Apartment,3,01/12/2020,194.91
43164,Yes,6,108,Apartment,3,11/09/2020,218.82
43163,Yes,7,96,Apartment,3,07/09/2020,236.24
43159,Yes,4,69,Apartment,2,15/10/2020,177.44
43139,Yes,4,65,Apartment,2,14/10/2020,177.3
43141,Yes,6,82,Apartment,3,17/07/2020,180.09
43140,Yes,4,124,Apartment,2,17/07/2020,78.08
43137,Yes,9,113,Apartment,4,27/08/2020,241.69
43142,Yes,6,82,Apartment,3,17/07/2020,191.33
43143,Yes,6,67,Apartment,3,17/07/2020,180.28
43144,Yes,6,50,Apartment,3,17/07/2020,58.3
43145,Yes,7,82,Apartment,3,17/07/2020,184.27
43146,Yes,6,67,Apartment,3,17/07/2020,172.53
43147,Yes,3,71,Apartment,3,17/07/2020,74.67
43119,Yes,4,66,Apartment,1,08/09/2020,148.88
43120,Yes,4,58,Apartment,2,29/07/2020,146.28
43121,Yes,4,58,Apartment,2,29/08/2020,151.86
43122,Yes,4,58,Apartment,2,13/09/2020,148.53
43123,Yes,4,58,Apartment,2,25/07/2020,155.29
43124,Yes,4,58,Apartment,2,30/09/2020,151.42
43125,Yes,4,58,Apartment,2,13/10/2020,165.51
43126,Yes,4,58,Apartment,2,18/10/2020,137.89
43127,Yes,4,58,Apartment,2,14/10/2020,144.51
43128,Yes,3,58,Apartment,2,29/08/2020,137.69
43118,Yes,6,84,Apartment,2,10/11/2020,170.43
43117,Yes,6,58,Apartment,2,01/10/2020,180.92
43096,Yes,8,140,Apartment,4,10/07/2020,249.01
43158,Yes,4,75,Apartment,2,17/08/2020,180.04
43099,Yes,4,75,Apartment,2,12/07/2020,182.5
43095,Yes,7,75,Apartment,3,01/07/2020,223.81
43076,Yes,7,83,Apartment,3,19/04/2020,216.45
43075,Yes,7,106,Apartment,3,13/04/2020,303.69
43074,Yes,11,120,Apartment,4,20/04/2020,282.86
43069,Yes,9,110,Apartment,3,01/02/2020,252.89
43068,Yes,7,80,Apartment,2,31/01/2020,162.03
43397,Yes,6,150,Apartment,2,23/06/2023,228.94
